line_id,route_id,line_name,route_name,direction
r10831465,r10524210,Vypin ↔ Fort Kochi (Ro Ro),Ro Ro: Vypin → Fort Kochi,unknown
r10831465,r10524211,Vypin ↔ Fort Kochi (Ro Ro),Ro Ro: Fort Kochi → Vypin,unknown
r10831516,r10525436,High Court ↔ Nedungad (via Vypin),High Court → Nedungad (via Vypin),forward
r10831516,r10525435,High Court ↔ Nedungad (via Vypin),Nedungad → High Court,unknown
r10831517,r10524079,Manjanakad ↔ High Court,Manjanakad → High Court,forward
r10831517,r10524080,Manjanakad ↔ High Court,High Court → Manjanakad,backward
r10831518,r10523910,North Paravur ↔ High Court (via Vypin),High Court → Vypin → North Paravur,unknown
r10831518,r10519399,North Paravur ↔ High Court (via Vypin),North Paravur → Vypin → High Court,unknown
r12759113,r10592288,Munambam ↔ High Court (via Vypin),High Court → Munambam (via Vypin),unknown
r12759113,r10592287,Munambam ↔ High Court (via Vypin),Munambam → High Court (via Vypin),forward
r12759289,r12740709,North Paravur ↔ Ernakulam Boat Jetty,Ernakulam Boat Jetty → North Paravur,backward
r12759289,r12759262,North Paravur ↔ Ernakulam Boat Jetty,North Paravur → Ernakulam Boat Jetty,forward
r13374892,r12376735,North Paravur ↔ Kottuvally South (via Athani),Kottuvally South → North Paravur,unknown
r13374892,r12376660,North Paravur ↔ Kottuvally South (via Athani),North Paravur → Kottuvally South,unknown
r13374893,r10528761,North Paravur ↔ Munambam,Munambam → North Paravur,backward
r13374893,r10528762,North Paravur ↔ Munambam,North Paravur → Munambam,forward
r13478965,r13479120,North Paravur ↔ Ezhikkara,Ezhikkara → North Paravur,backward
r13478965,r13478964,North Paravur ↔ Ezhikkara,North Paravur → Ezhikkara,forward
r13489073,r13489398,Fort Kochi ↔ Edakochi,Fort Kochi → Edakochi,forward
r13489073,r13489072,Fort Kochi ↔ Edakochi,Edakochi → Fort Kochi,backward
r13497147,r13497146,High Court ↔ Panambukad (Vallarpadam),High Court → Panambukad (Vallarpadam),forward
