trip_id,start_time,end_time,headway_secs
r3093532_Mo-Su,05:00:00,22:00:00,3600
r10524210_Mo-Su,05:00:00,22:00:00,3600
r10524211_Mo-Su,05:00:00,22:00:00,3600
r10525436_Mo-Su,05:00:00,22:00:00,3600
r10525435_Mo-Su,05:00:00,22:00:00,3600
r10524079_Mo-Su,05:00:00,22:00:00,3600
r10524080_Mo-Su,05:00:00,22:00:00,3600
r10523910_Mo-Su,05:00:00,22:00:00,3600
r10519399_Mo-Su,05:00:00,22:00:00,3600
r10403637_Mo-Su,05:00:00,22:00:00,300
r10523911_Mo-Su,05:00:00,22:00:00,300
r10592288_Mo-Su,05:00:00,22:00:00,3600
r10592287_Mo-Su,05:00:00,22:00:00,3600
r12740709_Mo-Su,05:00:00,22:00:00,3600
r12759262_Mo-Su,05:00:00,22:00:00,3600
r12376735_Mo-Su,05:00:00,22:00:00,1800
r12376660_Mo-Su,05:00:00,22:00:00,1800
r10528761_Mo-Su,05:00:00,22:00:00,3600
r10528762_Mo-Su,05:00:00,22:00:00,3600
