line_id,route_id,stop_point_id,stop_point_index,name
r10512380,r3093532,n6300587485,1,To fort kochi
r10512380,r3093532,n6300587388,2,To fort kochi
r10512380,r3093532,n4639553292,3,Chirattapalam
r10831516,r10525435,n7099984219,1,Nedungad
r10831516,r10525435,n7019490009,10,Thayyezhuth Ln
r10831516,r10525435,n2928886789,11,Nayarambalam
r10831516,r10525435,n6859298874,12,CT office Bus stop
r10831516,r10525435,n4729063228,13,ATH
r10831516,r10525435,n7019570874,14,kochambalam
r10831516,r10525435,n7019570872,15,kudungasseri
r10831516,r10525435,n7019489991,16,Veliyatham Parambu
r10831516,r10525435,n8562986962,17,Maanattu Parambu
r10831516,r10525435,n7019570867,18,Mampilly
r10831516,r10525435,n7019570864,19,Njarackal
r10831516,r10525435,n9162332253,2,Boat jetty
r10831516,r10525435,n7019570862,20,hospital Jn
r10831516,r10525435,n7019570857,21,Perumpilly
r10831516,r10525435,n7019570856,22,Elamkunnapuzha
r10831516,r10525435,n7019570854,23,Perumalppadi
r10831516,r10525435,n7019483220,24,Malippuram
r10831516,r10525435,n3870727313,25,Valappu
r10831516,r10525435,n7080379200,26,School muttam
r10831516,r10525435,n7018599468,27,Puthuvype
r10831516,r10525435,n7018945497,28,Companypeedika
r10831516,r10525435,n7083824553,29,Thekkan malippuram
r10831516,r10525435,n7021264006,30,Murikkumpaadam
r10831516,r10525435,n7052794274,31,SeaFood
r10831516,r10525435,n7097918159,32,Kaalamukku
r10831516,r10525435,n982135818,34,Vypin
r10831516,r10525435,n7021264003,36,Kaalamukku
r10831516,r10525435,n7052794272,37,Vallarpadam
r10831516,r10525435,n7052794270,39,Bolgatty Bus Stop
r10831516,r10525435,n7052794253,40,High Court
r10831516,r10525435,n9162332247,5,Puliyampullly Temple
r10831516,r10525435,n4729063219,9,Aniyal
r10831516,r10525436,n7052794252,1,High Court
r10831516,r10525436,n7052794273,10,SeaFood
r10831516,r10525436,n7021264005,11,Murikkumpaadam
r10831516,r10525436,n7083824552,12,Thekkan malippuram
r10831516,r10525436,n6864553692,13,Company Peedika
r10831516,r10525436,n7018599469,14,Puthuvype
r10831516,r10525436,n7083824551,15,School muttam
r10831516,r10525436,n7018735456,16,Valappu
r10831516,r10525436,n7019483219,17,Malippuram
r10831516,r10525436,n3870727315,18,Perumalppadi
r10831516,r10525436,n7019570855,19,Elamkunnapuzha
r10831516,r10525436,n5756729629,2,Bolgatty Bus Stop
r10831516,r10525436,n7019570858,20,Perumpilly
r10831516,r10525436,n7019570863,21,hospital Jn
r10831516,r10525436,n4729063558,22,Njarackal
r10831516,r10525436,n7019570866,23,Mampilly
r10831516,r10525436,n7019570868,24,Maanattu Parambu
r10831516,r10525436,n7019570870,25,Veliyatham Parambu
r10831516,r10525436,n7019570871,26,kudungasseri
r10831516,r10525436,n7019570873,27,kochambalam
r10831516,r10525436,n7019570875,28,ATH
r10831516,r10525436,n7019489996,29,CT office Bus stop
r10831516,r10525436,n7019570876,30,Nayarambalam
r10831516,r10525436,n7294644885,31,Thayyezhuth Ln
r10831516,r10525436,n9162332240,32,Aniyal
r10831516,r10525436,n9162332248,36,Puliyampullly Temple
r10831516,r10525436,n9162332254,39,Boat jetty
r10831516,r10525436,n7052794271,4,Vallarpadam
r10831516,r10525436,n7099984219,40,Nedungad
r10831516,r10525436,n7097918159,5,Kaalamukku
r10831516,r10525436,n982135818,7,Vypin
r10831516,r10525436,n7021264004,9,Kaalamukku
r10831517,r10524079,n7099969098,1,manjanakkad
r10831517,r10524079,n7018945497,10,Companypeedika
r10831517,r10524079,n7083824553,11,Thekkan malippuram
r10831517,r10524079,n7021264006,12,Murikkumpaadam
r10831517,r10524079,n7052794274,13,SeaFood
r10831517,r10524079,n7021264003,14,Kaalamukku
r10831517,r10524079,n7052794272,15,Vallarpadam
r10831517,r10524079,n7052794270,17,Bolgatty Bus Stop
r10831517,r10524079,n7052794253,18,High Court
r10831517,r10524079,n7019570862,2,hospital Jn
r10831517,r10524079,n7019570857,3,Perumpilly
r10831517,r10524079,n7019570856,4,Elamkunnapuzha
r10831517,r10524079,n7019570854,5,Perumalppadi
r10831517,r10524079,n7019483220,6,Malippuram
r10831517,r10524079,n3870727313,7,Valappu
r10831517,r10524079,n7080379200,8,School muttam
r10831517,r10524079,n7018599468,9,Puthuvype
r10831517,r10524080,n7052794252,1,High Court
r10831517,r10524080,n7018599469,10,Puthuvype
r10831517,r10524080,n7083824551,11,School muttam
r10831517,r10524080,n7018735456,12,Valappu
r10831517,r10524080,n7019483219,13,Malippuram
r10831517,r10524080,n3870727315,14,Perumalppadi
r10831517,r10524080,n7019570855,15,Elamkunnapuzha
r10831517,r10524080,n7019570858,16,Perumpilly
r10831517,r10524080,n7019570863,17,hospital Jn
r10831517,r10524080,n7099969098,18,manjanakkad
r10831517,r10524080,n5756729629,2,Bolgatty Bus Stop
r10831517,r10524080,n7052794271,4,Vallarpadam
r10831517,r10524080,n7021264004,5,Kaalamukku
r10831517,r10524080,n7052794273,6,SeaFood
r10831517,r10524080,n7021264005,7,Murikkumpaadam
r10831517,r10524080,n7083824552,8,Thekkan malippuram
r10831517,r10524080,n6864553692,9,Company Peedika
r10831518,r10403637,n3870727315,1,Perumalppadi
r10831518,r10403637,n6864553692,10,Company Peedika
r10831518,r10403637,n7018599469,11,Puthuvype
r10831518,r10403637,n7083824551,12,School muttam
r10831518,r10403637,n7018735456,13,Valappu
r10831518,r10403637,n7019483219,14,Malippuram
r10831518,r10403637,n3870727315,15,Perumalppadi
r10831518,r10403637,n7019570855,16,Elamkunnapuzha
r10831518,r10403637,n7019570858,17,Perumpilly
r10831518,r10403637,n7019570863,18,hospital Jn
r10831518,r10403637,n4729063558,19,Njarackal
r10831518,r10403637,n7052794252,2,High Court
r10831518,r10403637,n7019570866,20,Mampilly
r10831518,r10403637,n7019570868,21,Maanattu Parambu
r10831518,r10403637,n7019570870,22,Veliyatham Parambu
r10831518,r10403637,n7019570871,23,kudungasseri
r10831518,r10403637,n7019570873,24,kochambalam
r10831518,r10403637,n7019570875,25,ATH
r10831518,r10403637,n7019489996,26,CT office Bus stop
r10831518,r10403637,n7019570876,27,Nayarambalam
r10831518,r10403637,n7294644885,28,Thayyezhuth Ln
r10831518,r10403637,n7019490039,29,Aniyal
r10831518,r10403637,n5756729629,3,Bolgatty Bus Stop
r10831518,r10403637,n4729063048,30,edavanakad palli
r10831518,r10403637,n7019490052,31,Kpmhs
r10831518,r10403637,n7019490054,32,AE Office
r10831518,r10403637,n7019490058,33,Pazhangad
r10831518,r10403637,n7019490059,34,Vaachakkal
r10831518,r10403637,n7019500465,35,Illathupadi
r10831518,r10403637,n7019500474,37,Kuzhuppilly
r10831518,r10403637,n6895227823,38,Pallathamkulangara
r10831518,r10403637,n6895265704,39,Cheruvaippu Junction
r10831518,r10403637,n7019609344,40,Palli Hospital
r10831518,r10403637,n7019609347,41,Vadakekkara
r10831518,r10403637,n4729063046,42,Janatha
r10831518,r10403637,n7019609343,43,Ayyampilly
r10831518,r10403637,n7019609348,44,Ramavarma
r10831518,r10403637,n6914445924,45,Gowreeswaram
r10831518,r10403637,n7019609353,46,Devaswam nada
r10831518,r10403637,n7052794271,5,Vallarpadam
