route_id,stop_point_id,stop_point_index
r3093531,n9333280458,1
r3093531,n9333280456,2
r3093531,n9333280452,3
r3093531,n9333280450,4
r3093531,n9333280447,5
r3093531,n9333280444,6
r3093531,n9333314523,7
r3093531,n9333314520,8
r3093531,n9333314519,9
r3093531,n9333314517,10
r3093531,n9333324171,11
r3093531,n9333324169,12
r3093531,n9333324167,13
r3093531,n9333324165,14
r3093531,n9333324163,15
r3093531,n9333324158,16
r3093531,n9333324155,17
r3093531,n9333324154,18
r3093531,n9333324151,19
r3093531,n9333324149,20
r3093531,n9333330086,21
r3093531,n9333330084,22
r3093531,n9333330083,23
r3093531,n9333330080,24
r3093531,n9333330077,25
r3093531,n9333330075,26
r3093531,n9333352031,27
r3093531,n9333352030,28
r3093531,n9333383698,29
r3093531,n9333383691,30
r3093531,n9333383686,31
r3093531,n9333383677,32
r3093531,n9333422065,33
r3093531,n9333422059,34
r3093531,n9333422049,35
r3093531,n9333422046,36
r3093531,n9333422044,37
r3093531,n9333422042,38
r3093531,n8494116517,39
r3093531,n8494116518,40
r3093531,n8494116519,41
r3093531,n8494116520,42
r3093531,n9318037199,43
r3093531,n9318037201,44
r3093531,n8494116528,45
r3093531,n9318037204,46
r3093531,n9322967975,47
r3093531,n8498641053,48
r3093531,n3996656188,49
r3093531,n8514370957,50
r3093531,n9322967980,51
r3093531,n9310588330,52
r3093531,n7131609339,53
r3093531,n7131609340,54
r3093531,n9259132617,55
r3093531,n9265640217,56
r3093531,n5240431892,57
r3093531,n8463175621,58
r3093531,n8668423966,59
r3093531,n8668423952,60
r3093531,n9338216873,61
r3093531,n9338216875,62
r3093531,n9338216877,63
r3093531,n9338216878,64
r3093531,n9338216881,65
r3093531,n9338216879,66
r3093531,n9338216880,67
r3093531,n2744199206,68
r3093531,n7069624689,69
r3093531,n7069624685,70
r3093531,n2744190416,71
r3093531,n9338216888,72
r3093531,n9338216891,73
r3093531,n9338216892,74
r3093531,n9338216894,75
r3093531,n9338216897,76
r3093531,n9338216898,77
r3093531,n9338216900,78
r3093531,n9338216903,79
r3093531,n9338216905,80
r3093531,n9338216907,81
r3093531,n9338216909,82
r3093531,n9338216913,83
r3093531,n9338216914,84
r3093531,n9338216915,85
r3093531,n9338240417,86
r3093531,n9338240418,87
r3093531,n9338240420,88
r3093531,n9338240423,89
r3093531,n9338240422,90
r10403637,n7052794252,1
r10403637,n5756729629,2
r10403637,n7086058490,3
r10403637,n7052794271,4
r10403637,n7021264004,5
r10403637,n7052794273,6
r10403637,n7021264005,7
r10403637,n7083824552,8
r10403637,n6864553692,9
r10403637,n7018599469,10
r10403637,n7083824551,11
r10403637,n7018735456,12
r10403637,n7019483219,13
r10403637,n9310076227,14
r10403637,n3870727315,15
r10403637,n7019570855,16
r10403637,n7019570858,17
r10403637,n7019570863,18
r10403637,n4729063558,19
r10403637,n7019570866,20
r10403637,n7019570868,21
r10403637,n7019570870,22
r10403637,n7019570871,23
r10403637,n7019570873,24
r10403637,n7019570875,25
r10403637,n7019489996,26
r10403637,n7019570876,27
r10403637,n7294644885,28
r10403637,n7019490039,29
r10403637,n4729063048,30
r10403637,n7019490052,31
r10403637,n7019490054,32
