stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n944902406,Labour Corner,9.9778726,76.3342102,,,no
n976452403,Edappally Toll,10.02805,76.3110503,,,yes
n982135818,Vypin,9.973546,76.244141,,,yes
n1049713235,Palli,10.1395161,76.1990351,,,no
n1049713241,KMK Junction,10.1445191,76.2264466,,,yes
n1190898939,Thiruvankulam Junction,9.9432581,76.3739987,,,no
n2376855121,Karingachira,9.9516908,76.3583345,,,yes
n2376866788,Railway Station,9.9468775,76.3532115,,,yes
n2391343016,Koovapadam,9.9520508,76.2537227,,,yes
n2391343017,Koovapadam,9.9519841,76.2524456,,,yes
n2391343018,Paravana Mukk,9.9520508,76.2557319,,,no
n2391343019,Kappalandi Mukk,9.9519132,76.2576994,,,no
n2391343021,Chakkamadam,9.9550343,76.2578416,,,no
n2391343022,Star Junction,9.9591664,76.2578919,,,no
n2391343057,Panayappilly,9.9496497,76.2556511,,,yes
n2449090672,Anappara,10.1749432,76.3530024,,,no
n2580734253,Pipeline Junction,10.0051815,76.3128361,,,yes
n2580734650,Ernakulam Medical Centre,9.99898,76.3138595,,,
n2580734682,Ernakulam Medical Centre,9.999015,76.3140901,,,
n2712142797,Menaka,9.9780238,76.2770264,,,no
n2712147178,Ernakulam South,9.9680734,76.2880821,,,yes
n2744190416,Vaduthala Valavu,10.0189006,76.2750339,,,no
n2744199202,Don Bosco,10.0140145,76.2768412,,,no
n2744199206,Vaduthala Gate,10.0131716,76.2767579,,,no
n2744199210,Lourde's Hospital,10.0065637,76.2782977,,,no
n2744203515,Pachalam Junction,10.0012646,76.2795898,,,no
n2744203523,Pachalam Junction,10.0014412,76.2792621,,,no
n2744203531,Ayyappankavu,9.9959899,76.2805729,,,no
n2780838959,Kaloor Private Bus Stand,9.9941308,76.291962,,limited,yes
n2780917203,KSRTC Bus Station,10.1449289,76.2317837,,,no
n2923441825,Vyttila,9.9687963,76.3217495,6,,yes
n2928886789,Nayarambalam,10.0717346,76.2119072,,,yes
n2965439530,Vedimara,10.1484765,76.2447257,,,yes
n2965446278,Chendamangalam Junction,10.1489359,76.2350714,,,no
n3276153651,Sub Station,9.9629622,76.3183249,,,
n3367437300,Koonammavu,10.1005014,76.2639074,,,yes
n3670738749,Manjaly Akkara,10.1506466,76.2683658,,,
n3676241133,Mariyapadi,10.1264765,76.3209677,,,no
n3676244647,Namborichante aal,10.1485159,76.2279749,,,yes
n3676397041,Chendamangalam Junction,10.149268,76.2356058,,,yes
n3711605443,Civil Station,10.1488947,76.2304841,,,yes
n3813525947,Vai padi,10.0397032,76.3007241,,,yes
n3844271357,Chendamangalam Junction,10.1496989,76.2349266,,,no
n3864767757,NGO Quarters,10.0212159,76.3346249,,,yes
n3870727313,Valappu,10.0145846,76.2277549,,,yes
n3870727315,Perumalppadi,10.0254731,76.2236733,,,yes
n3886536252,High Court Junction,9.9834571,76.2742688,,,no
n3996656188,Thevara,9.950119,76.2920811,,,yes
n3996661158,Ravipuram,9.9591537,76.2889962,,,yes
n4270131792,Thettaly,10.1307559,76.3902447,,,no
n4270140391,Kaipra,10.1320525,76.3996667,,,no
n4286649742,Pazhamthottam,10.0170702,76.4284047,,,no
n4290205591,Gandhipuram,10.1223671,76.3668073,,,yes
n4290219991,Nayathod Junction,10.1858129,76.3973712,,,yes
n4291964895,Kondotty,10.1282229,76.3725752,,,no
n4292013891,Purayar,10.1280053,76.3692844,,,no
n4292039789,Chembumukku,10.0112802,76.3220348,,,yes
n4361725219,Changampuzha Park,10.0162866,76.3022933,,,yes
n4385198323,Ambalathazham,10.0181749,76.4268496,,,
n4419870996,Paravoor Kavala,10.1186635,76.3433064,,,yes
n4434161890,Chegamanad,10.1534743,76.3400561,,,yes
n4434162289,Palapprassery,10.1558501,76.3309535,,,yes
n4437337990,Chunkam,10.1567508,76.3265014,,,yes
n4471324994,Mavelipuram Junction,10.0227188,76.3412859,,,no
n4471324995,Mavelipuram Junction,10.023143,76.3411098,,,no
n4548818893,HMT Junction,10.0552166,76.322055,,,no
n4548830490,HMT Junction,10.0546455,76.3218929,,,yes
n4561240974,Hospital Junction,9.9717809,76.2822201,,,no
n4639553292,Chirattapalam,9.9607346,76.2429257,,,no
n4639553293,Njaliparambu,9.963287,76.2431075,,,no
n4639557089,Mattancherry,9.9587012,76.2599008,,,no
n4665138939,KMK Junction,10.1446931,76.2277819,,,no
n4694147800,Munambam Ferry,10.1829987,76.173772,,,
n4695161877,Ambattukavu,10.080671,76.3392534,,,yes
n4708279359,Cheranelloor Signal,10.0622019,76.2881063,,,yes
n4708279361,Naalam Mile,10.1145735,76.2596751,,,no
n4708279363,Millupadi,10.1218792,76.2546248,,,no
n4708279366,Khandakarnan veli,10.1274256,76.2434247,,,no
n4708279367,Vazhikulangara,10.1341612,76.2400735,,,yes
n4708279877,Kochal,10.1124944,76.2603016,,,no
n4708733903,Varapuzha,10.0786023,76.2750767,,,yes
n4716589462,Kunnukara,10.1551268,76.2952168,,,yes
n4716589463,Thelathuruth,10.1538024,76.2736708,,,no
n4716591373,Chalakka Schoolpadi,10.1549379,76.2798837,,,no
n4716858152,Kuttiyal,10.1561889,76.311397,,,yes
n4729063046,Janatha,10.1209644,76.1991859,,,no
n4729063048,Edavanakad Palli,10.0827527,76.2096157,,,no
n4729063216,Ayyampilly,10.1264174,76.1983488,,,no
n4729063219,Aniyal,10.0790683,76.2105579,,,no
n4729063228,ATH,10.066506,76.2129234,,,no
n4729063558,Njarackal,10.0472547,76.2172102,,,yes
n4729546009,AEO Office,10.0874239,76.2085846,,,no
n4731124415,Municipal Junction,10.1480679,76.2247396,,,no
n4731125089,Bharanimukku,10.1688454,76.2344303,,,no
n4731125541,Vedimara,10.1487134,76.2441192,,,yes
n4731125622,Thekkethazham,10.1500494,76.2633743,,,yes
n4731126041,Makkanayi Junction,10.1496737,76.2551481,,,yes
n4731126321,SNGIST,10.1498733,76.2672131,,,yes
n4733928387,Manjumel Kavala,10.0580774,76.2907347,,,no
n4735966321,Jose Junction,9.9672944,76.2862212,,,no
n4745604977,Thelathuruth,10.1536822,76.2736147,,,yes
n4745634832,Chalakka,10.1554876,76.2845243,,,no
n4745634833,Chalakka,10.1555456,76.2844347,,,no
n4753199419,St Theresas College,9.9752779,76.2785881,,,yes
n4769428928,Edappally Junction,10.0250912,76.3073159,,,yes
n4769428932,Kunnumpuram,10.0432261,76.2990611,,,yes
n4769436232,Petta,9.9501589,76.3320668,,,
n4769436233,Champakkara,9.9547409,76.3275696,,,
n4769436235,Vytilla Junction,9.969624,76.3179598,,,yes
n4792523923,Kochveli Junction,9.8347671,76.3093102,,,yes
n4792530422,Aroor Bypass,9.878038,76.3038187,,,no
n4805940485,Kunnumpuram,10.0434863,76.2986487,,,yes
n4889056845,Aluva Police Station,10.1029556,76.3584376,,,no
n5145335691,St Alberts College,9.9852674,76.279563,,,yes
n5240431892,Menaka,9.9776802,76.2769397,,,yes
n5261851010,Athani,10.1565933,76.354767,,,yes
n5295234430,Medical Trust Hospital,9.9631509,76.2879268,,,yes
n5377832022,Hill Palace,9.9519381,76.3613205,,,no
n5377841321,Vadakkekotta,9.9531132,76.3404726,,,yes
n5379782848,Manorama Junction,9.9659299,76.2952354,,,
n5423779221,Edappally Lulu,10.0281091,76.3099185,,,no
n5524950666,Kodikuthmala,10.0814506,76.3644444,,,no
n5756729629,Bolgatty,9.9910377,76.2648026,,,no
n5756729631,Kunnumpuram,9.9640554,76.2456927,,,yes
n5757830236,Vathimattom,10.0568213,76.4568369,,,no
n5757830237,Bank Junction,10.058933,76.4594366,,,no
n5757830238,Chelakkulam,10.0515189,76.4492134,,,no
n5757830239,Jai Bharath College,10.0540438,76.4530939,,,no
n5757830240,Bhandarakkavala,10.043435,76.4485546,,,yes
