trip_id,arrival_time,departure_time,stop_id,timepoint,stop_sequence
r3093532_Mo-Su,06:00:00,06:00:00,n6300587485,0,0
r3093532_Mo-Su,06:04:00,06:04:00,n6300587388,0,1
r3093532_Mo-Su,06:06:26,06:06:26,n4639553292,0,2
r10525436_Mo-Su,06:00:00,06:00:00,n7052794252,0,0
r10525436_Mo-Su,06:07:37,06:07:37,n5756729629,0,1
r10525436_Mo-Su,06:15:41,06:15:41,n7086058490,0,2
r10525436_Mo-Su,06:17:43,06:17:43,n7052794271,0,3
r10525436_Mo-Su,06:24:39,06:24:39,n7097918159,0,4
r10525436_Mo-Su,06:27:03,06:27:03,n7097918160,0,5
r10525436_Mo-Su,06:30:53,06:30:53,n982135818,0,6
r10525436_Mo-Su,06:34:42,06:34:42,n7097918161,0,7
r10525436_Mo-Su,06:37:28,06:37:28,n7021264004,0,8
r10525436_Mo-Su,06:40:20,06:40:20,n7052794273,0,9
r10525436_Mo-Su,06:42:55,06:42:55,n7021264005,0,10
r10525436_Mo-Su,06:46:07,06:46:07,n7083824552,0,11
r10525436_Mo-Su,06:50:35,06:50:35,n6864553692,0,12
r10525436_Mo-Su,06:53:11,06:53:11,n7018599469,0,13
r10525436_Mo-Su,06:57:26,06:57:26,n7083824551,0,14
r10525436_Mo-Su,07:01:00,07:01:00,n7018735456,0,15
r10525436_Mo-Su,07:03:59,07:03:59,n7019483219,0,16
r10525436_Mo-Su,07:08:35,07:08:35,n3870727315,0,17
r10525436_Mo-Su,07:12:11,07:12:11,n7019570855,0,18
r10525436_Mo-Su,07:16:03,07:16:03,n7019570858,0,19
r10525436_Mo-Su,07:20:04,07:20:04,n7019570863,0,20
r10525436_Mo-Su,07:23:47,07:23:47,n4729063558,0,21
r10525436_Mo-Su,07:24:51,07:24:51,n7019570866,0,22
r10525436_Mo-Su,07:27:39,07:27:39,n7019570868,0,23
r10525436_Mo-Su,07:30:20,07:30:20,n7019570870,0,24
r10525436_Mo-Su,07:32:21,07:32:21,n7019570871,0,25
r10525436_Mo-Su,07:34:53,07:34:53,n7019570873,0,26
r10525436_Mo-Su,07:36:58,07:36:58,n7019570875,0,27
r10525436_Mo-Su,07:37:46,07:37:46,n7019489996,0,28
r10525436_Mo-Su,07:40:50,07:40:50,n7019570876,0,29
r10525436_Mo-Su,07:43:10,07:43:10,n7294644885,0,30
