stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n982135818,,Vypin,,9.973546,76.244141,,,0,,,0
n1049713235,,Palli,,10.1395161,76.1990351,,,0,,,0
n1049713241,,KMK Junction,,10.1445191,76.2264466,,,0,,,0
n2391343016,,Koovapadam,,9.9520758,76.2537608,,,0,,,0
n2391343017,,Koovapaadam,,9.9519966,76.2527946,,,0,,,0
n2391343018,,Paravan Mukk,,9.9520508,76.2557319,,,0,,,0
n2391343019,,Kappalandi Mukk,,9.9519132,76.2576994,,,0,,,0
n2391343057,,Panayappilly,,9.9496497,76.2556511,,,0,,,0
n2580734253,,PipeLine Junction,,10.0054933,76.312796,,,0,,,0
n2580734682,,EMC,,9.999015,76.3140901,,,0,,,0
n2712142797,,Menaka,,9.9783505,76.276848,,,0,,,0
n2712147178,,Ernakulam South,,9.9680879,76.2880915,,,0,,,0
n2780838959,,Kaloor,,9.9941444,76.2918207,,,0,,,1
n2780917203,KSRTC Bus Stand,KSRTC Bus Stand,,10.1449289,76.2317837,,,0,,,0
n2928886789,,Nayarambalam,,10.0717346,76.2119072,,,0,,,0
n2965446278,,Chendamangalam Junction,,10.1489359,76.2350714,,,0,,,0
n3676244647,,Namboodrichanda aal,,10.1485053,76.2280554,,,0,,,0
n3711605443,,Civil station,,10.1489156,76.2307452,,,0,,,0
n3870727313,,Valappu,,10.0145846,76.2277549,,,0,,,0
n3870727315,,Perumalppadi,,10.0254349,76.2236619,,,0,,,0
n3886536252,,High Court Junction,,9.9833176,76.274318,,,0,,,0
n4561240974,,Hospital Junction,,9.9717986,76.2822067,,,0,,,0
n4639553292,,Chirattapalam,,9.9607346,76.2429257,,,0,,,0
n4639553293,,Njaliparambu,,9.963287,76.2431075,,,0,,,0
n4665138939,,KMK Junction,,10.1446773,76.2277524,,,0,,,0
n4694147800,,Munambam Ferry,,10.1829762,76.1737393,,,0,,,0
n4729063046,,Janatha,,10.1211881,76.1991215,,,0,,,0
n4729063048,,Edavanakad Palli,,10.0827527,76.2096157,,,0,,,0
n4729063216,,Ayyampilly,,10.1263354,76.1983715,,,0,,,0
n4729063219,,Aniyal,,10.0790683,76.2105579,,,0,,,0
n4729063228,,ATH,,10.066506,76.2129234,,,0,,,0
n4729063558,,Njarackal,,10.0472805,76.2171948,,,0,,,0
n4729546009,,AE Office,,10.0876943,76.208524,,,0,,,0
n4731124415,,Municipal Junction,,10.1480679,76.2247396,,,0,,,0
n4753199419,,St. Teresa's,,9.9752784,76.2785881,,,0,,,0
n4769436235,,Vytilla Junction,,9.9695487,76.3178901,,,0,,,0
n5145335691,,St Alberts College,,9.9853471,76.2798259,,,0,,,0
n5240431892,,Menaka,,9.9778283,76.2768442,,,0,,,0
n5379782848,,Manorama Junction,,9.9659299,76.2952354,,,0,,,0
n5756729629,,Bolgatty,,9.9910377,76.2648026,,,0,,,0
n5756729631,,Kunnumpuram,,9.9640554,76.2456927,,,0,,,0
n5757830543,,Pipeline Junction,,10.0048763,76.3132582,,,0,,,0
n5757830551,,Puthiya Road Bypass Junction,,9.9926588,76.3151349,,,0,,,0
n5757830552,,Kuthappady,,9.9829245,76.3127001,,,0,,,0
n5757830554,,Anjumuri,,9.9806743,76.3133583,,,0,,,0
n6300587285,,Polakandam Market,,9.939536,76.25554,,,0,,,0
n6300587385,,Karuvelippadi,,9.9414492,76.2557946,,,0,,,0
n6300587388,,Amaravathi,,9.9573702,76.2424165,,,0,,,0
n6300587389,,Kunnumpuram,,9.9652903,76.243579,,,0,,,0
n6575215866,,Pambayi Moola,,9.9121884,76.2936912,,,0,,,0
n6604465433,,Pashnithodu Palam,,9.9134876,76.2827682,,,0,,,0
n6604465434,,Pashnithodu Palam,,9.9133704,76.2826692,,,0,,,0
n6604480384,,Pambayi Moola,,9.9121149,76.2935586,,,0,,,0
n6604489386,,Pambayi Moola,,9.9127528,76.2917441,,,0,,,0
n6859298874,,CT office Bus stop,,10.0675322,76.2127081,,,0,,,0
n6864553692,,Company Peedika,,10.0008942,76.2346465,,,0,,,0
