line_id,name
r10512380,Chirattapalam
r10512380,To fort kochi
r10831516,ATH
r10831516,Aniyal
r10831516,Boat jetty
r10831516,Bolgatty Bus Stop
r10831516,CT office Bus stop
r10831516,Company Peedika
r10831516,Companypeedika
r10831516,Elamkunnapuzha
r10831516,High Court
r10831516,Kaalamukku
r10831516,Maanattu Parambu
r10831516,Malippuram
r10831516,Mampilly
r10831516,Murikkumpaadam
r10831516,Nayarambalam
r10831516,Nedungad
r10831516,Njarackal
r10831516,Perumalppadi
r10831516,Perumpilly
r10831516,Puliyampullly Temple
r10831516,Puthuvype
r10831516,School muttam
r10831516,SeaFood
r10831516,Thayyezhuth Ln
r10831516,Thekkan malippuram
r10831516,Valappu
r10831516,Vallarpadam
r10831516,Veliyatham Parambu
r10831516,Vypin
r10831516,hospital Jn
r10831516,kochambalam
r10831516,kudungasseri
r10831517,Bolgatty Bus Stop
r10831517,Company Peedika
r10831517,Companypeedika
r10831517,Elamkunnapuzha
r10831517,High Court
r10831517,Kaalamukku
r10831517,Malippuram
r10831517,Murikkumpaadam
r10831517,Perumalppadi
r10831517,Perumpilly
r10831517,Puthuvype
r10831517,School muttam
r10831517,SeaFood
r10831517,Thekkan malippuram
r10831517,Valappu
r10831517,Vallarpadam
r10831517,hospital Jn
r10831517,manjanakkad
r10831518,AE Office
r10831518,ATH
r10831518,Aniyal
r10831518,Ayyampilly
r10831518,Bolgatty Bus Stop
r10831518,CT office Bus stop
r10831518,Chendamangalam Junction
r10831518,Cheruvaippu Junction
r10831518,Company Peedika
r10831518,Companypeedika
r10831518,Devaswam nada
r10831518,Elamkunnapuzha
r10831518,Gowreeswaram
r10831518,High Court
r10831518,Illathupadi
r10831518,Janatha
r10831518,KMK Jn
r10831518,KPM High School
r10831518,Kaalamukku
r10831518,Kerala State Road Transport Corporation Bus Stand
r10831518,Kpmhs
r10831518,Kuzhuppilly
r10831518,Maanattu Parambu
r10831518,Malippuram
r10831518,Mampilly
r10831518,Murikkumpaadam
r10831518,Nayarambalam
r10831518,Njarackal
r10831518,Pallathamkulangara
r10831518,Palli Hospital
r10831518,Paravur private bus stand
r10831518,Pazhangad
r10831518,Perumalppadi
r10831518,Perumpadanna
r10831518,Perumpilly
r10831518,Private Bustand
r10831518,Puthuvype
r10831518,Ramavarma
r10831518,School muttam
r10831518,SeaFood
r10831518,Thayyezhuth Ln
r10831518,Thekkan malippuram
r10831518,Vaachakkal
r10831518,Vadakekkara
r10831518,Valappu
r10831518,Vallarpadam
r10831518,Veliyatham Parambu
r10831518,Vypin
r10831518,edavanakad palli
r10831518,hospital Jn
r10831518,kochambalam
r10831518,kudungasseri
r10831518,namboodrichanda aal
r12759113,AE Office
r12759113,ATH
r12759113,Angaadi
r12759113,Aniyal
r12759113,Ayyaar Valavu
r12759113,Ayyampilly
r12759113,Beach Road
r12759113,Bolgatty Bus Stop
r12759113,CT office Bus stop
r12759113,Cheruvaippu Junction
r12759113,Company Peedika
r12759113,Companypeedika
r12759113,Convent
r12759113,Devaswam nada
r12759113,Elamkunnapuzha
r12759113,Gowreeswaram
r12759113,High Court
r12759113,IR Valavu
r12759113,Illathupadi
r12759113,Janatha
r12759113,KPM High School
r12759113,Kaalamukku
r12759113,Karuthala
r12759113,Kolothumkadavu
r12759113,Kpmhs
r12759113,Kuzhuppilly
r12759113,Maanattu Parambu
r12759113,Malippuram
r12759113,Mampilly
r12759113,Mani Bazar
r12759113,Munambam Ferry
r12759113,Murikkumpaadam
r12759113,Nayarambalam
r12759113,Njarackal
r12759113,Pallathamkulangara
r12759113,Palli Hospital
r12759113,Pallippuram Palli
r12759113,Pazhangad
